Date,Open,High,Low,Close,Volume,WMA,DEMA,ADX.DIp,ADX.DIn,ADX.DX,ADX.ADX,MACD.macd,MACD.signal,CCI,MO,RSI,ATR.tr,ATR.atr,ATR.trueHigh,ATR.trueLow,CLV,CMF,CMO,EMV.emv,EMV.maEMV,MFI,ROC,VHF,SAR,TRIX.TRIX,TRIX.signal,WPR,SNR
2012-04-27,850.31,852.48,844.54,850.11,532000000.00,835.68,842.69,31.71,15.63,33.98,26.80,0.669,0.561,74.90,13.34,67.58,7.94,10.84,852.48,844.54,0.40300000,0.09940000,-3.13,0.00014200,0.00047100,66.93,0.0021100,0.2453994,814.85,0.17900,0.25300,0.07092,3.67167
2012-04-30,855.09,863.82,854.89,863.82,853000000.00,838.24,847.15,36.24,14.24,43.58,27.99,0.862,0.621,138.00,11.57,79.14,13.71,11.05,863.82,850.11,1.00000000,0.10200000,18.36,0.00114000,0.00051400,73.90,0.0160000,0.2682188,818.62,0.16900,0.24600,0.00000,3.84606
2012-05-02,869.58,873.64,867.86,871.94,811000000.00,841.51,852.43,40.32,13.33,50.31,29.59,1.078,0.712,177.00,22.43,85.47,9.82,10.96,873.64,863.82,0.41200000,0.12400000,37.02,0.00081200,0.00061000,80.93,0.0093600,0.3263336,824.04,0.15900,0.23900,0.02592,5.40892
2012-05-03,872.92,879.50,869.33,872.75,1080000000.00,844.76,857.08,41.47,12.44,53.85,31.32,1.242,0.818,168.00,23.41,88.70,10.17,10.90,879.50,869.33,-0.32700000,0.06620000,54.69,0.00034500,0.00049600,87.58,0.0009290,0.3549637,830.99,0.14900,0.23100,0.09448,4.97776
2012-05-04,872.66,872.66,861.01,861.93,1150000000.00,846.86,859.06,38.30,16.91,38.74,31.85,1.253,0.905,112.00,19.02,69.99,11.74,10.96,872.75,861.01,-0.84200000,0.03500000,51.56,-0.00076800,0.00030400,84.79,-0.0125000,0.3461911,838.75,0.14000,0.22300,0.25194,2.68145
2012-05-08,856.98,865.44,854.85,864.17,1160000000.00,849.08,861.11,35.65,19.77,28.66,31.62,1.268,0.978,85.90,20.30,71.29,10.59,10.93,865.44,854.85,0.76000000,0.08850000,47.05,-0.00061100,0.00020500,76.25,0.0026000,0.3570036,845.27,0.13200,0.21500,0.21982,2.27140
2012-05-09,858.92,860.91,845.27,845.27,1620000000.00,849.41,859.39,31.46,23.40,14.71,30.42,1.089,1.000,38.80,-8.24,47.37,18.90,11.50,864.17,845.27,-1.00000000,-0.02800000,31.87,-0.00068100,0.00013000,70.56,-0.0221000,0.3466447,845.27,0.12300,0.20700,0.53568,0.90630
2012-05-10,840.01,840.65,828.49,832.43,1770000000.00,848.55,855.53,28.29,31.13,4.78,28.58,0.815,0.963,-30.70,-10.83,36.60,16.78,11.88,845.27,828.49,-0.35200000,-0.02190000,12.53,-0.00127000,-0.00004440,60.94,-0.0153000,0.3301446,879.50,0.11300,0.19900,0.77892,0.80611
2012-05-11,830.00,836.72,823.56,833.65,1880000000.00,847.87,852.38,26.07,31.62,9.63,27.23,0.603,0.891,-40.90,1.91,36.71,13.16,11.97,836.72,823.56,0.53300000,0.04830000,1.04,-0.00031000,-0.00013400,52.28,0.0014600,0.3359985,879.50,0.10400,0.19000,0.81963,0.70621
2012-05-14,833.13,840.65,810.36,815.21,1180000000.00,845.41,846.28,21.82,33.57,21.22,26.80,0.255,0.764,-81.60,-4.36,26.25,30.29,13.28,840.65,810.36,-0.68000000,0.00963000,-22.59,-0.00119000,-0.00028200,45.69,-0.0224000,0.3313851,877.26,0.09480,0.18200,0.92985,2.34976
2012-05-15,814.32,830.41,810.58,830.41,734000000.00,844.43,843.77,19.57,30.11,21.22,26.40,0.123,0.636,-79.60,19.65,39.89,19.83,13.75,830.41,810.58,1.00000000,0.05970000,-3.63,-0.00135000,-0.00055900,43.06,0.0185000,0.3132784,873.25,0.08650,0.17300,0.71001,1.34336
2012-05-16,815.94,820.40,805.66,820.40,1100000000.00,842.39,839.77,17.19,28.87,25.35,26.33,-0.077,0.493,-115.00,-1.05,33.91,24.75,14.53,830.41,805.66,1.00000000,0.08820000,-18.19,-0.00100000,-0.00076000,36.89,-0.0121000,0.3104086,869.48,0.07820,0.16400,0.80038,2.77032
2012-05-17,821.96,826.24,815.84,821.87,968000000.00,840.51,836.59,19.22,27.36,17.47,25.69,-0.220,0.351,-91.00,8.87,34.35,10.40,14.24,826.24,815.84,0.16000000,0.11500000,-16.83,0.00086100,-0.00070300,37.25,0.0017900,0.3170187,864.37,0.07080,0.15500,0.78047,3.30584
2012-05-18,809.48,811.97,802.61,806.71,854000000.00,837.13,831.11,17.41,31.26,28.45,25.89,-0.475,0.186,-147.00,-12.16,27.22,19.26,14.60,821.87,802.61,-0.12400000,0.11300000,-31.83,-0.00151000,-0.00078500,32.08,-0.0186000,0.3111444,859.67,0.06390,0.14700,0.94668,4.24494
2012-05-21,805.20,806.19,790.73,790.73,684000000.00,832.30,823.50,16.06,34.60,36.60,26.66,-0.824,-0.016,-172.00,-41.93,21.68,15.98,14.70,806.71,790.73,-1.00000000,0.05090000,-40.97,-0.00199000,-0.00093900,28.46,-0.0200000,0.3502328,853.97,0.05730,0.13800,1.00000,4.56422
2012-05-22,799.42,801.47,786.06,786.06,634000000.00,827.22,816.12,14.86,34.28,39.52,27.57,-1.137,-0.241,-160.00,-53.39,19.98,15.41,14.75,801.47,786.06,-1.00000000,-0.01820000,-57.23,-0.00114000,-0.00099000,23.35,-0.0059200,0.3769566,846.38,0.05060,0.12900,1.00000,5.01327
2012-05-23,781.38,783.73,768.13,770.17,725000000.00,820.87,806.93,13.59,39.90,49.19,29.12,-1.527,-0.498,-179.00,-64.51,16.10,17.93,14.97,786.06,768.13,-0.73800000,0.00169000,-70.85,-0.00384000,-0.00127000,18.14,-0.0204000,0.4415064,837.93,0.04370,0.12000,0.98168,4.74848
2012-05-24,770.89,783.86,764.09,783.86,1180000000.00,816.14,801.56,12.34,38.11,51.09,30.69,-1.685,-0.735,-143.00,-58.40,28.68,19.77,15.32,783.86,764.09,1.00000000,0.01600000,-56.79,-0.00032800,-0.00128000,17.97,0.0176000,0.4547819,826.77,0.03710,0.11200,0.81791,2.99611
2012-05-25,777.80,788.69,774.76,786.87,535000000.00,811.98,797.54,13.80,35.62,44.16,31.65,-1.760,-0.940,-111.00,-55.46,31.40,13.93,15.22,788.69,774.76,0.73900000,0.03390000,-50.47,0.00202000,-0.00092000,22.21,0.0038300,0.4654192,815.48,0.03010,0.10400,0.77523,2.92687
2012-05-28,784.10,791.78,778.90,791.76,444000000.00,808.54,795.05,14.42,33.44,39.74,32.23,-1.752,-1.103,-90.90,-56.56,36.16,12.88,15.05,791.78,778.90,0.99700000,0.04850000,-47.84,0.00105000,-0.00065300,26.45,0.0062000,0.476566,806.23,0.02260,0.09520,0.71421,1.49624
2012-05-29,792.07,804.46,791.87,802.16,847000000.00,806.37,794.86,19.63,31.40,23.07,31.57,-1.623,-1.207,-56.20,-47.95,46.05,12.70,14.88,804.46,791.76,0.63500000,0.06380000,-30.17,0.00191000,-0.00033000,34.32,0.0130000,0.4727593,804.46,0.01450,0.08700,0.50274,1.83735
2012-05-30,795.05,797.18,788.76,789.62,534000000.00,803.23,792.50,18.36,30.87,25.42,31.14,-1.628,-1.291,-67.80,-74.20,39.16,13.40,14.78,802.16,788.76,-0.79600000,0.00055600,-30.03,-0.00081900,-0.00051700,37.96,-0.0158000,0.4601858,804.46,0.00564,0.07880,0.66654,2.02796
2012-05-31,781.04,794.48,777.33,791.54,781000000.00,800.62,790.89,16.85,33.80,33.47,31.30,-1.595,-1.352,-71.30,-80.40,41.26,17.15,14.95,794.48,777.33,0.65700000,0.00956000,-29.39,-0.00155000,-0.00052200,41.98,0.0024300,0.4830487,797.19,-0.00441,0.07060,0.64146,1.97268
2012-06-01,787.71,789.73,772.39,772.39,605000000.00,796.57,786.10,15.34,33.08,36.65,31.68,-1.742,-1.430,-89.90,-100.36,31.51,19.15,15.25,791.54,772.39,-1.00000000,-0.00316000,-29.74,-0.00139000,-0.00045500,44.45,-0.0245000,0.4592884,794.48,-0.01620,0.06230,0.87485,2.17870
2012-06-05,776.13,778.32,761.66,761.66,611000000.00,791.98,780.11,14.15,35.51,43.02,32.49,-1.948,-1.533,-114.00,-100.27,26.98,16.66,15.35,778.32,761.66,-1.00000000,0.01570000,-49.28,-0.00302000,-0.00066300,37.92,-0.0140000,0.4580936,789.73,-0.02980,0.05380,1.00000,1.83485
2012-06-06,770.26,780.37,769.41,775.60,462000000.00,789.20,777.57,13.88,32.47,40.12,33.04,-1.948,-1.616,-85.40,-88.57,39.79,18.71,15.59,780.37,761.66,0.13000000,-0.02900000,-31.23,0.00116000,-0.00010800,45.14,0.0181000,0.447041,784.12,-0.04490,0.04500,0.78414,0.64848
2012-06-07,785.73,789.06,773.83,777.14,648000000.00,786.98,775.75,16.89,30.20,28.25,32.70,-1.911,-1.675,-64.80,-68.13,41.30,15.23,15.56,789.06,773.83,-0.56500000,0.04240000,-31.17,0.00154000,0.00009950,43.02,0.0019800,0.4445618,761.66,-0.06030,0.03590,0.69231,0.43454
2012-06-08,774.90,783.68,771.36,783.68,415000000.00,785.71,775.46,15.92,29.62,30.06,32.51,-1.794,-1.699,-61.90,-48.75,47.87,12.32,15.33,783.68,771.36,1.00000000,0.11200000,-17.07,-0.00116000,-0.00025400,45.23,0.0083800,0.4436413,761.66,-0.07560,0.02640,0.50550,0.01149
2012-06-11,796.74,807.94,796.74,807.94,731000000.00,786.98,779.70,25.05,26.40,2.63,30.37,-1.437,-1.647,51.20,-25.71,64.19,24.26,15.97,807.94,783.68,1.00000000,0.10200000,12.02,0.00380000,0.00005180,53.14,0.0305000,0.4090388,762.76,-0.09120,0.01670,0.00000,1.27487
2012-06-12,799.98,810.66,797.65,810.66,614000000.00,788.64,783.92,24.80,24.84,0.08,28.21,-1.114,-1.540,69.10,-4.55,66.12,13.01,15.76,810.66,797.65,1.00000000,0.20600000,17.42,0.00038500,-0.00011700,60.09,0.0033600,0.4252616,765.47,-0.10700,0.00659,0.00000,1.16844
2012-06-13,811.33,813.62,801.63,806.51,551000000.00,789.92,786.86,24.80,23.47,2.75,26.39,-0.890,-1.410,83.70,-23.90,62.86,11.99,15.49,813.62,801.63,-0.18600000,0.14900000,28.07,0.00075500,0.00005760,67.39,-0.0051300,0.4314429,769.08,-0.12300,-0.00389,0.13684,0.27607
2012-06-14,802.48,810.85,801.37,801.72,1150000000.00,790.86,788.58,23.68,22.54,2.48,24.68,-0.752,-1.278,76.30,-18.68,58.05,9.48,15.06,810.85,801.37,-0.92600000,-0.00647000,14.81,-0.00012500,0.00021600,54.33,-0.0059600,0.400563,773.54,-0.14000,-0.01480,0.22902,0.79978
2012-06-15,808.25,816.37,807.13,812.56,1530000000.00,792.92,792.08,24.66,20.97,8.08,23.50,-0.527,-1.128,125.00,-9.31,65.37,14.65,15.03,816.37,801.72,0.17500000,0.00161000,20.01,0.00034100,0.00040800,59.10,0.0134000,0.3744813,777.54,-0.15700,-0.02620,0.06964,1.39378
2012-06-18,822.50,824.79,807.17,809.88,953000000.00,794.77,794.63,26.57,19.23,16.01,22.96,-0.372,-0.977,130.00,3.17,63.14,17.62,15.21,824.79,807.17,-0.69200000,-0.03620000,14.36,0.00078200,0.00083100,61.19,-0.0033000,0.3575675,782.20,-0.17400,-0.03810,0.23618,2.44471
2012-06-19,812.14,816.90,808.36,816.90,890000000.00,797.27,798.14,25.47,18.44,16.01,22.47,-0.177,-0.817,116.00,26.17,68.96,8.54,14.74,816.90,808.36,1.00000000,0.07040000,12.00,-0.00032100,0.00066600,61.41,0.0086300,0.2973014,788.17,-0.18900,-0.05040,0.12498,3.76919
2012-06-20,814.80,818.61,812.40,816.68,458000000.00,799.63,801.14,25.54,17.86,17.69,22.13,-0.024,-0.658,108.00,30.62,70.93,6.21,14.13,818.61,812.40,0.37800000,0.12600000,24.49,0.00039000,0.00053800,66.27,-0.0002690,0.3121271,793.29,-0.20300,-0.06310,0.12847,2.97442
2012-06-21,809.94,811.07,802.90,804.89,495000000.00,800.71,801.60,23.75,21.42,5.15,20.91,-0.021,-0.531,56.40,34.72,56.23,13.78,14.10,816.68,802.90,-0.51300000,0.14800000,11.09,-0.00141000,0.00051100,68.04,-0.0145000,0.2996131,797.70,-0.21400,-0.07600,0.31522,2.00971
2012-06-22,797.53,800.07,793.75,800.07,787000000.00,801.18,801.13,22.39,24.90,5.31,19.80,-0.066,-0.438,11.90,16.21,51.60,11.14,13.89,804.89,793.75,1.00000000,0.12400000,26.10,-0.00080900,-0.00000105,66.74,-0.0060100,0.274978,824.79,-0.22300,-0.08900,0.39157,1.21038
2012-06-25,798.85,803.97,795.68,795.68,694000000.00,801.15,799.94,23.48,23.81,0.71,18.43,-0.145,-0.379,11.10,8.81,46.39,8.29,13.49,803.97,795.68,-1.00000000,0.04580000,34.12,0.00034800,-0.00000508,72.70,-0.0055000,0.269972,824.79,-0.23100,-0.10200,0.52564,0.94191
2012-06-26,795.05,801.32,794.04,798.51,429000000.00,801.34,799.44,22.54,23.76,2.63,17.31,-0.177,-0.339,5.87,6.75,48.77,7.28,13.05,801.32,794.04,0.22800000,0.02150000,25.86,-0.00036400,-0.00012900,68.54,0.0035500,0.2783261,823.55,-0.23700,-0.11500,0.49186,0.97650
2012-06-27,802.93,810.75,802.23,809.75,572000000.00,802.58,801.06,26.21,22.16,8.37,16.67,-0.088,-0.289,56.30,7.59,59.56,12.24,12.99,810.75,798.51,0.76500000,0.01480000,33.18,0.00131000,0.00003020,68.37,0.0140000,0.2610835,822.36,-0.24100,-0.12800,0.28149,0.26082
2012-06-28,813.42,819.99,805.27,814.02,604000000.00,804.18,803.24,29.14,20.38,17.68,16.74,0.025,-0.226,79.60,24.40,62.68,14.72,13.11,819.99,805.27,0.18900000,0.05330000,31.60,0.00150000,0.00015900,72.83,0.0052600,0.2733966,821.21,-0.24200,-0.14000,0.34697,0.97218
2012-06-29,817.78,826.08,814.38,814.38,785000000.00,805.70,805.19,30.55,19.04,23.22,17.20,0.117,-0.157,98.20,22.84,62.92,12.06,13.04,826.08,814.02,-1.00000000,-0.03950000,8.93,0.00113000,0.00019800,73.01,0.0004420,0.2992243,793.75,-0.24000,-0.15200,0.36189,0.14453
2012-07-02,824.57,828.45,821.44,827.40,571000000.00,808.36,809.23,29.50,17.58,25.33,17.78,0.315,-0.063,131.00,55.01,73.03,14.07,13.11,828.45,814.38,0.70000000,0.03240000,20.31,0.00057800,0.00029800,72.93,0.0159000,0.2986496,793.75,-0.23300,-0.16300,0.03026,1.37514
2012-07-03,831.33,835.09,829.15,834.48,645000000.00,811.42,813.99,31.95,16.82,31.03,18.73,0.536,0.057,171.00,72.82,77.75,7.69,12.73,835.09,827.40,0.79500000,0.11300000,32.77,0.00066100,0.00032800,73.22,0.0085200,0.3418051,795.14,-0.22200,-0.17200,0.01476,1.43681
2012-07-04,837.86,838.44,827.47,830.48,860000000.00,813.76,817.34,31.87,15.77,33.78,19.80,0.663,0.178,154.00,54.88,72.00,10.97,12.60,838.44,827.47,-0.45100000,0.07840000,34.01,0.00010600,0.00049600,75.06,-0.0048000,0.374281,797.54,-0.20800,-0.18100,0.17812,1.13966
2012-07-05,829.59,836.15,826.64,836.15,676000000.00,816.38,821.23,30.12,15.39,32.37,20.70,0.810,0.305,145.00,59.01,75.93,9.51,12.38,836.15,826.64,1.00000000,0.15100000,29.71,-0.00021900,0.00056100,72.85,0.0068000,0.3694899,800.81,-0.19000,-0.18700,0.05124,2.63819
2012-07-06,835.87,838.23,827.32,833.94,565000000.00,818.51,824.16,29.42,14.41,34.24,21.67,0.893,0.422,136.00,50.26,72.83,10.91,12.27,838.23,827.32,0.21400000,0.12900000,30.49,0.00026600,0.00055200,71.73,-0.0026500,0.3743175,803.82,-0.17000,-0.19200,0.10069,2.88130
2012-07-09,826.92,827.88,822.77,823.21,426000000.00,819.37,824.69,27.49,16.13,26.04,21.98,0.844,0.507,67.30,15.27,56.51,11.17,12.20,833.94,822.77,-0.82800000,0.05550000,7.64,-0.00089400,0.00049300,65.21,-0.0130000,0.3737162,806.59,-0.14800,-0.19500,0.34079,2.35367
2012-07-10,824.61,837.67,823.34,837.67,496000000.00,821.54,827.74,30.85,14.78,35.21,22.93,0.936,0.592,108.00,27.01,68.22,14.46,12.36,837.67,823.21,1.00000000,0.04770000,21.67,0.00150000,0.00051400,65.41,0.0174000,0.3702561,809.14,-0.12700,-0.19600,0.01723,3.27071
