,Date,Open,High,Low,Close,Volume,WMA,DEMA,ADX.DIp,ADX.DIn,ADX.DX,ADX.ADX,MACD.macd,MACD.signal,CCI,MO,RSI,ATR.tr,ATR.atr,ATR.trueHigh,ATR.trueLow,CLV,CMF,CMO,EMV.emv,EMV.maEMV,MFI,ROC,VHF,SAR,TRIX.TRIX,TRIX.signal,WPR,SNR
0,2012-04-27,850.31,852.48,844.54,850.11,532000000.0,835.68,842.69,31.71,15.63,33.98,26.8,0.669,0.561,74.9,13.34,67.58,7.94,10.84,852.48,844.54,0.403,0.0994,-3.13,0.000142,0.000471,66.93,0.00211,0.2453994,814.85,0.179,0.253,0.07092,3.67167
1,2012-04-30,855.09,863.82,854.89,863.82,853000000.0,838.24,847.15,36.24,14.24,43.58,27.99,0.862,0.621,138.0,11.57,79.14,13.71,11.05,863.82,850.11,1.0,0.102,18.36,0.00114,0.000514,73.9,0.016,0.2682188,818.62,0.169,0.246,0.0,3.84606
2,2012-05-02,869.58,873.64,867.86,871.94,811000000.0,841.51,852.43,40.32,13.33,50.31,29.59,1.078,0.712,177.0,22.43,85.47,9.82,10.96,873.64,863.82,0.412,0.124,37.02,0.000812,0.00061,80.93,0.00936,0.3263336,824.04,0.159,0.239,0.02592,5.40892
3,2012-05-03,872.92,879.5,869.33,872.75,1080000000.0,844.76,857.08,41.47,12.44,53.85,31.32,1.242,0.818,168.0,23.41,88.7,10.17,10.9,879.5,869.33,-0.327,0.0662,54.69,0.000345,0.000496,87.58,0.000929,0.3549637,830.99,0.149,0.231,0.09448,4.97776
4,2012-05-04,872.66,872.66,861.01,861.93,1150000000.0,846.86,859.06,38.3,16.91,38.74,31.85,1.253,0.905,112.0,19.02,69.99,11.74,10.96,872.75,861.01,-0.842,0.035,51.56,-0.000768,0.000304,84.79,-0.0125,0.3461911,838.75,0.14,0.223,0.25194,2.68145
5,2012-05-08,856.98,865.44,854.85,864.17,1160000000.0,849.08,861.11,35.65,19.77,28.66,31.62,1.268,0.978,85.9,20.3,71.29,10.59,10.93,865.44,854.85,0.76,0.0885,47.05,-0.000611,0.000205,76.25,0.0026,0.3570036,845.27,0.132,0.215,0.21982,2.2714
6,2012-05-09,858.92,860.91,845.27,845.27,1620000000.0,849.41,859.39,31.46,23.4,14.71,30.42,1.089,1.0,38.8,-8.24,47.37,18.9,11.5,864.17,845.27,-1.0,-0.028,31.87,-0.000681,0.00013,70.56,-0.0221,0.3466447,845.27,0.123,0.207,0.53568,0.9063
7,2012-05-10,840.01,840.65,828.49,832.43,1770000000.0,848.55,855.53,28.29,31.13,4.78,28.58,0.815,0.963,-30.7,-10.83,36.6,16.78,11.88,845.27,828.49,-0.352,-0.0219,12.53,-0.00127,-4.44e-05,60.94,-0.0153,0.3301446,879.5,0.113,0.199,0.77892,0.80611
8,2012-05-11,830.0,836.72,823.56,833.65,1880000000.0,847.87,852.38,26.07,31.62,9.63,27.23,0.603,0.891,-40.9,1.91,36.71,13.16,11.97,836.72,823.56,0.533,0.0483,1.04,-0.00031,-0.000134,52.28,0.00146,0.3359985,879.5,0.104,0.19,0.81963,0.70621
9,2012-05-14,833.13,840.65,810.36,815.21,1180000000.0,845.41,846.28,21.82,33.57,21.22,26.8,0.255,0.764,-81.6,-4.36,26.25,30.29,13.28,840.65,810.36,-0.68,0.00963,-22.59,-0.00119,-0.000282,45.69,-0.0224,0.3313851,877.26,0.0948,0.182,0.92985,2.34976
10,2012-05-15,814.32,830.41,810.58,830.41,734000000.0,844.43,843.77,19.57,30.11,21.22,26.4,0.123,0.636,-79.6,19.65,39.89,19.83,13.75,830.41,810.58,1.0,0.0597,-3.63,-0.00135,-0.000559,43.06,0.0185,0.3132784,873.25,0.0865,0.173,0.71001,1.34336
11,2012-05-16,815.94,820.4,805.66,820.4,1100000000.0,842.39,839.77,17.19,28.87,25.35,26.33,-0.077,0.493,-115.0,-1.05,33.91,24.75,14.53,830.41,805.66,1.0,0.0882,-18.19,-0.001,-0.00076,36.89,-0.0121,0.3104086,869.48,0.0782,0.164,0.80038,2.77032
12,2012-05-17,821.96,826.24,815.84,821.87,968000000.0,840.51,836.59,19.22,27.36,17.47,25.69,-0.22,0.351,-91.0,8.87,34.35,10.4,14.24,826.24,815.84,0.16,0.115,-16.83,0.000861,-0.000703,37.25,0.00179,0.3170187,864.37,0.0708,0.155,0.78047,3.30584
13,2012-05-18,809.48,811.97,802.61,806.71,854000000.0,837.13,831.11,17.41,31.26,28.45,25.89,-0.475,0.186,-147.0,-12.16,27.22,19.26,14.6,821.87,802.61,-0.124,0.113,-31.83,-0.00151,-0.000785,32.08,-0.0186,0.3111444,859.67,0.0639,0.147,0.94668,4.24494
14,2012-05-21,805.2,806.19,790.73,790.73,684000000.0,832.3,823.5,16.06,34.6,36.6,26.66,-0.824,-0.016,-172.0,-41.93,21.68,15.98,14.7,806.71,790.73,-1.0,0.0509,-40.97,-0.00199,-0.000939,28.46,-0.02,0.3502328,853.97,0.0573,0.138,1.0,4.56422
15,2012-05-22,799.42,801.47,786.06,786.06,634000000.0,827.22,816.12,14.86,34.28,39.52,27.57,-1.137,-0.241,-160.0,-53.39,19.98,15.41,14.75,801.47,786.06,-1.0,-0.0182,-57.23,-0.00114,-0.00099,23.35,-0.00592,0.3769566,846.38,0.0506,0.129,1.0,5.01327
16,2012-05-23,781.38,783.73,768.13,770.17,725000000.0,820.87,806.93,13.59,39.9,49.19,29.12,-1.527,-0.498,-179.0,-64.51,16.1,17.93,14.97,786.06,768.13,-0.738,0.00169,-70.85,-0.00384,-0.00127,18.14,-0.0204,0.4415064,837.93,0.0437,0.12,0.98168,4.74848
17,2012-05-24,770.89,783.86,764.09,783.86,1180000000.0,816.14,801.56,12.34,38.11,51.09,30.69,-1.685,-0.735,-143.0,-58.4,28.68,19.77,15.32,783.86,764.09,1.0,0.016,-56.79,-0.000328,-0.00128,17.97,0.0176,0.4547819,826.77,0.0371,0.112,0.81791,2.99611
18,2012-05-25,777.8,788.69,774.76,786.87,535000000.0,811.98,797.54,13.8,35.62,44.16,31.65,-1.76,-0.94,-111.0,-55.46,31.4,13.93,15.22,788.69,774.76,0.739,0.0339,-50.47,0.00202,-0.00092,22.21,0.00383,0.4654192,815.48,0.0301,0.104,0.77523,2.92687
19,2012-05-28,784.1,791.78,778.9,791.76,444000000.0,808.54,795.05,14.42,33.44,39.74,32.23,-1.752,-1.103,-90.9,-56.56,36.16,12.88,15.05,791.78,778.9,0.997,0.0485,-47.84,0.00105,-0.000653,26.45,0.0062,0.476566,806.23,0.0226,0.0952,0.71421,1.49624
20,2012-05-29,792.07,804.46,791.87,802.16,847000000.0,806.37,794.86,19.63,31.4,23.07,31.57,-1.623,-1.207,-56.2,-47.95,46.05,12.7,14.88,804.46,791.76,0.635,0.0638,-30.17,0.00191,-0.00033,34.32,0.013,0.4727593,804.46,0.0145,0.087,0.50274,1.83735
21,2012-05-30,795.05,797.18,788.76,789.62,534000000.0,803.23,792.5,18.36,30.87,25.42,31.14,-1.628,-1.291,-67.8,-74.2,39.16,13.4,14.78,802.16,788.76,-0.796,0.000556,-30.03,-0.000819,-0.000517,37.96,-0.0158,0.4601858,804.46,0.00564,0.0788,0.66654,2.02796
22,2012-05-31,781.04,794.48,777.33,791.54,781000000.0,800.62,790.89,16.85,33.8,33.47,31.3,-1.595,-1.352,-71.3,-80.4,41.26,17.15,14.95,794.48,777.33,0.657,0.00956,-29.39,-0.00155,-0.000522,41.98,0.00243,0.4830487,797.19,-0.00441,0.0706,0.64146,1.97268
23,2012-06-01,787.71,789.73,772.39,772.39,605000000.0,796.57,786.1,15.34,33.08,36.65,31.68,-1.742,-1.43,-89.9,-100.36,31.51,19.15,15.25,791.54,772.39,-1.0,-0.00316,-29.74,-0.00139,-0.000455,44.45,-0.0245,0.4592884,794.48,-0.0162,0.0623,0.87485,2.1787
24,2012-06-05,776.13,778.32,761.66,761.66,611000000.0,791.98,780.11,14.15,35.51,43.02,32.49,-1.948,-1.533,-114.0,-100.27,26.98,16.66,15.35,778.32,761.66,-1.0,0.0157,-49.28,-0.00302,-0.000663,37.92,-0.014,0.4580936,789.73,-0.0298,0.0538,1.0,1.83485
25,2012-06-06,770.26,780.37,769.41,775.6,462000000.0,789.2,777.57,13.88,32.47,40.12,33.04,-1.948,-1.616,-85.4,-88.57,39.79,18.71,15.59,780.37,761.66,0.13,-0.029,-31.23,0.00116,-0.000108,45.14,0.0181,0.447041,784.12,-0.0449,0.045,0.78414,0.64848
26,2012-06-07,785.73,789.06,773.83,777.14,648000000.0,786.98,775.75,16.89,30.2,28.25,32.7,-1.911,-1.675,-64.8,-68.13,41.3,15.23,15.56,789.06,773.83,-0.565,0.0424,-31.17,0.00154,9.95e-05,43.02,0.00198,0.4445618,761.66,-0.0603,0.0359,0.69231,0.43454
27,2012-06-08,774.9,783.68,771.36,783.68,415000000.0,785.71,775.46,15.92,29.62,30.06,32.51,-1.794,-1.699,-61.9,-48.75,47.87,12.32,15.33,783.68,771.36,1.0,0.112,-17.07,-0.00116,-0.000254,45.23,0.00838,0.4436413,761.66,-0.0756,0.0264,0.5055,0.01149
28,2012-06-11,796.74,807.94,796.74,807.94,731000000.0,786.98,779.7,25.05,26.4,2.63,30.37,-1.437,-1.647,51.2,-25.71,64.19,24.26,15.97,807.94,783.68,1.0,0.102,12.02,0.0038,5.18e-05,53.14,0.0305,0.4090388,762.76,-0.0912,0.0167,0.0,1.27487
29,2012-06-12,799.98,810.66,797.65,810.66,614000000.0,788.64,783.92,24.8,24.84,0.08,28.21,-1.114,-1.54,69.1,-4.55,66.12,13.01,15.76,810.66,797.65,1.0,0.206,17.42,0.000385,-0.000117,60.09,0.00336,0.4252616,765.47,-0.107,0.00659,0.0,1.16844
30,2012-06-13,811.33,813.62,801.63,806.51,551000000.0,789.92,786.86,24.8,23.47,2.75,26.39,-0.89,-1.41,83.7,-23.9,62.86,11.99,15.49,813.62,801.63,-0.186,0.149,28.07,0.000755,5.76e-05,67.39,-0.00513,0.4314429,769.08,-0.123,-0.00389,0.13684,0.27607
31,2012-06-14,802.48,810.85,801.37,801.72,1150000000.0,790.86,788.58,23.68,22.54,2.48,24.68,-0.752,-1.278,76.3,-18.68,58.05,9.48,15.06,810.85,801.37,-0.926,-0.00647,14.81,-0.000125,0.000216,54.33,-0.00596,0.400563,773.54,-0.14,-0.0148,0.22902,0.79978
32,2012-06-15,808.25,816.37,807.13,812.56,1530000000.0,792.92,792.08,24.66,20.97,8.08,23.5,-0.527,-1.128,125.0,-9.31,65.37,14.65,15.03,816.37,801.72,0.175,0.00161,20.01,0.000341,0.000408,59.1,0.0134,0.3744813,777.54,-0.157,-0.0262,0.06964,1.39378
33,2012-06-18,822.5,824.79,807.17,809.88,953000000.0,794.77,794.63,26.57,19.23,16.01,22.96,-0.372,-0.977,130.0,3.17,63.14,17.62,15.21,824.79,807.17,-0.692,-0.0362,14.36,0.000782,0.000831,61.19,-0.0033,0.3575675,782.2,-0.174,-0.0381,0.23618,2.44471
34,2012-06-19,812.14,816.9,808.36,816.9,890000000.0,797.27,798.14,25.47,18.44,16.01,22.47,-0.177,-0.817,116.0,26.17,68.96,8.54,14.74,816.9,808.36,1.0,0.0704,12.0,-0.000321,0.000666,61.41,0.00863,0.2973014,788.17,-0.189,-0.0504,0.12498,3.76919
35,2012-06-20,814.8,818.61,812.4,816.68,458000000.0,799.63,801.14,25.54,17.86,17.69,22.13,-0.024,-0.658,108.0,30.62,70.93,6.21,14.13,818.61,812.4,0.378,0.126,24.49,0.00039,0.000538,66.27,-0.000269,0.3121271,793.29,-0.203,-0.0631,0.12847,2.97442
